命名空间,词汇英文名称,词汇中文名称
basic,certificateNumber,证书编号
basic,serialNumber,序列号
basic,calibratedInterval,已校准区间
basic,calibrationMethod,校准方法
basic,measurementStandard,测量标准
basic,temperature,温度
basic,humidityRelative,相对湿度
basic,nominalValue,名义值
basic,indicationValue,示值
basic,measurementError,测量误差
math,minimum,最小值
math,maximum,最大值
NAWI,range1,称量范围1
NAWI,resolutionOfDisplayingDevice,显示装置分辨力
NAWI,verificationScaleInterval,检定分度值
NAWI,repeatabilityMeasurement,重复性测量
NAWI,errorOfIndicationMeasurement,示值误差测量
NAWI,eccentricityMeasurement,偏载测量
jjg1204,electronicPriceComputingScale,电子计价秤
jjg1204,accuracyClass,准确度等级
jjg1204,softwareIdentification,软件标识
jjg1204,uniqueInformationIdentifier,唯一信息标识符
jjg1204,sealingMarkStatus,封印状态
jjg1204,manufacturingDate,制造日期
jjg1204,calibrator,校准员
jjg1204,reviewer,核验员
jjg1204,approver,批准人
jjg1204,calibrationDevice,校准装置
jjg1204,standardValidityEndDate,标准器有效期截止日
jjg1204,standardWeightSet,标准砝码组
jjg1204,zeroTrackingState,零点跟踪状态
jjg1204,additionalLoad,附加载荷
jjg1204,repeatabilityValue,重复性值
jjg1204,absoluteMaximumPermissibleError,最大允许误差绝对值
jjg1204,zeroSettingAccuracyAndWeighingMeasurement,置零准确度及称量测量
jjg1204,correctedError,修正误差
jjg1204,maximumPermissibleError,最大允许误差
jjg1204,tareAccuracyAndWeighingMeasurement,除皮准确度及除皮后称量测量
jjg1204,tareLoad,皮重载荷
jjg1204,loading,加载
jjg1204,unloading,卸载
jjg1204,eccentricLoadPosition,偏载位置
